letter,Term,Definition,Committee,lastRevision
C,Calcic horizon,"A mineral soil horizon of secondary carbonate enrichment that is >15 cm thick, has a CaCO3 equivalent of >150 g kg-1, and has at least 50 g kg-1 more calcium carbonate equivalent than the underlying C horizon. See also calcium carbonate equivalent.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calcined,"Thermally-altered bone where the organic content and moisture have been lost, usually resulting in a gray or white color.",Anthropology (Crime Scene / Death Investigation),2018-02-23
C,Calcitan,A cutan composed of calcite.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calcite,"A common rock-forming mineral: CaCO3. It is trimorphous with aragonite and vaterite. Calcite is usually white, colorless, or pale shades of gray, yellow, and blue; it has perfect rhombohedral cleavage, a vitreous luster, and a hardness of 3 on the Mohs scale, and it readily effervesces in cold dilute hydrochloric acid. It is the principal constituent of limestone; calcite also occurs crystalline in marble, loose and earthy in chalk, spongy in tufa, and stalactitic in cave deposits. It is commonly found as a gangue mineral in many ore deposits and as a cementing medium in clastic sedimentary rocks.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calcite,"A group name for minerals with the general formula ACO3, where A = Ca, Mg, Fe, Mn, Co, Ni, Zn or Cd.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calcitic lime,Limestone containing mostly CaCO3.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calcium:magnesium ratio,A statement of the relative proportions of available calcium and magnesium in the soil.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calendering,A process where raw rubber passes between a series of large steel  rollers.  The final roller impresses the outsole design into the rubber that is later cut into soles.  Rollers are also used to help prepare raw rubber for the production of rubber biscuits for the compression molding process.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
C,Calibration,"Operation that, under specified conditions, in a first step, establishes a relation between the quantity values with measurement uncertainties provided by measurement standards and corresponding indications with associated measurement uncertainties and, in a second step, uses this information to establish a relation for obtaining a measurement result from an indication NOTE 1 A calibration may be expressed by a statement, calibration function, calibration diagram, calibration curve, or calibration table. In some cases, it may consist of an additive or multiplicative correction of the indication with associated measurement uncertainty. NOTE 2 Calibration should not be confused with adjustment of a measuring system, often mistakenly called “self-calibration”, nor with verification of calibration. [VIM 2008].",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calibration,"The set of operations that establishes, under specified conditions, the relationship between values indicated by a measuring instrument or measuring system or values represented by a material, and the corresponding known values of measurement.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calibration,"The set of operations that establish, under specified conditions, the relationship between values indicated by a measuring instrument or measuring system, or values represented by a material, and the corresponding known values of a measurement.",QIC (FSSB),2018-02-23
C,Calibration,"Operation that, under specified conditions, establishes a relation between the quantity value and corresponding indications.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
C,Calibration,"Operation that, under specified conditions, in a first step, established a relation between the quantity values with measurement uncertainties provided by measurement standards and corresponding indications with association measurement uncertainties and, in a second step, uses this information to establish a relation of obtaining a measurement result from an indication.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
C,Calibration model,The mathematical model that demonstrates the relationship between the concentration of analyte and the corresponding instrument response.,Chemistry (Chemistry / Instrumental Analysis)Toxicology (Chemistry / Instrumental Analysis),2018-02-23
C,Caliche,"A zone near the surface, more or less cemented by secondary carbonates of Ca or Mg precipitated from the soil solution. It may occur as a soft thin soil horizon, as a hard thick bed, or as a surface layer exposed by erosion.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Caliche,"Alluvium cemented with NaNO3, NaCl, and/or other soluble salts in the nitrate deposits of Chile and Peru.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Call Center,"A call center functions as a single, centralized, repository for reporting persons potentially involved in an incident (not for detailed antemortem data collection). During disasters, a call center should be established to gather missing persons’ information to support the disaster victim identification efforts.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
C,Calorie,A metric unit of heat energy. The amount of energy required to raise the temperature of one gram of water one degree Celsius. 1 cal = 0.004 BTU = 4.1868 J.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Cambic horizon,"A mineral soil horizon that has a texture of loamy very fine sand or finer, has soil structure rather than rock structure, contains some weatherable minerals, and is characterized by the alteration or removal of mineral material as indicated by mottling or gray colors, stronger chromas or redder hues than in underlying horizons, or the removal of carbonates. The cambic horizon lacks cementation or induration and has too few evidences of illuviation to meet the requirements of the argillic or spodic horizon.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,"Cambridge Reference Sequence, revised (rCRS)","A fully corrected  version of the original Cambridge  Reference Sequence (GenBank# J01415 0 gi:337188) of Anderson et al (1981) of the human mitochondrial genome (mtDNA), also referred to as the Anderson sequence. The rCRS is GenBank sequence NC_012920; it differs from the original CRS and other complete mtDNA GenBank sequences in that it has eighteen corrected or confirmed nucleotides. It is used for reporting human mtDNA sequences, generally by denoting the differences observed from the rCRS.",Biology (Biology / DNA),2018-02-23
C,Candidate list,A rank ordered list from best to least matching faces generated from a probe searched against a biometric system.,Facial Identification (Digital / Multimedia),2018-02-23
C,Canine,"A dog, Canis familiaris, more commonly used to denote a working dog and sometimes abbreviated as K-9.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
C,Canine handler,"A person who has successfully completed a recognized course of canine handling in a specific discipline and maintains those abilities through field applications, maintenance training, certification, recertification and agency or program required continuing canine education.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
C,Canine handler error,Any action or cue that causes the canine team to perform incorrectly.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
C,Canine team,A human and working dog that train and work together as an operational unit.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
C,Canine team assessment record,The documentation of an evaluation conducted during training.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
C,Canine trainer,"A person providing training/instruction who has demonstrated, through education, training and operational experience, extensive skill and knowledge in the subject field or discipline. This person would normally perform the maintenance training and proficiency training in the field and may train canines in preparation for a formal course of instruction. (Also called Instructor).",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
C,Cannon fuse,"A coated, thread-wrapped cord filled with black powder designed to initiate flame-sensitive explosives.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Cap,See primer cap.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Capacity,"The amount of finished product that could be produced, either in one batch or over a defined period of time, and given a set list of variables.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
